23.61.127.8
PING 23.61.127.8 (23.61.127.8) 56(84) bytes of data.
64 bytes from 18.160.199.67: icmp_seq=76 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=77 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=78 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=79 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=80 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=81 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=82 ttl=244 time=9.34 ms
64 bytes from 18.160.199.67: icmp_seq=83 ttl=244 time=9.60 ms
64 bytes from 18.160.199.67: icmp_seq=84 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=85 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=86 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=87 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=88 ttl=244 time=10.0 ms
64 bytes from 18.160.199.67: icmp_seq=89 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=90 ttl=244 time=9.35 ms
64 bytes from 18.160.199.67: icmp_seq=91 ttl=244 time=9.45 ms
64 bytes from 18.160.199.67: icmp_seq=92 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=93 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=94 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=95 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=96 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=97 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=98 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=99 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=100 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=101 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=102 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=103 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=104 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=105 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=106 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=107 ttl=244 time=9.45 ms
64 bytes from 18.160.199.67: icmp_seq=108 ttl=244 time=9.36 ms
